total_shots,num_flagged,num_discarded,num_incorrect
1000000,8654,0,16
1000000,8638,0,18
1000000,8915,0,17
1000000,8813,0,22
1000000,8671,0,16
1000000,8879,0,22
1000000,8850,0,17
1000000,8702,0,19
1000000,8753,0,29
1000000,8871,0,17
1000000,8536,0,19
1000000,8670,0,17
1000000,8507,0,17
1000000,8474,0,10
1000000,8675,0,18
1000000,8875,0,8
1000000,8836,0,17
1000000,8824,0,17
1000000,8716,0,20
1000000,8749,0,13
1000000,8617,0,10
1000000,8643,0,10
1000000,8933,0,17
1000000,8833,0,21
1000000,8735,0,10
1000000,8822,0,18
1000000,8724,0,18
1000000,8625,0,13
1000000,8727,0,24
1000000,8552,0,9
1000000,8668,0,18
1000000,8703,0,16
1000000,8692,0,18
1000000,8852,0,17
1000000,8689,0,13
1000000,8764,0,15
1000000,8782,0,16
1000000,8533,0,28
1000000,8670,0,17
1000000,8755,0,17
1000000,8837,0,21
1000000,8635,0,10
1000000,8778,0,16
1000000,8854,0,13
1000000,8796,0,14
1000000,8747,0,10
1000000,8744,0,14
1000000,8718,0,15
1000000,8821,0,16
1000000,8801,0,18
1000000,8877,0,10
1000000,8663,0,12
1000000,8641,0,18
1000000,8728,0,22
1000000,8695,0,11
1000000,8680,0,15
1000000,8648,0,18
1000000,8769,0,17
1000000,8700,0,18
1000000,8659,0,17
1000000,8750,0,13
1000000,8644,0,16
1000000,8731,0,19
1000000,8718,0,12
1000000,8642,0,17
1000000,8936,0,19
1000000,8741,0,21
1000000,8741,0,14
1000000,8610,0,19
1000000,8922,0,13
1000000,8857,0,15
1000000,8702,0,15
1000000,8796,0,17
1000000,8710,0,16
1000000,8634,0,9
1000000,8766,0,15
1000000,8832,0,15
1000000,8696,0,13
1000000,8661,0,19
1000000,8641,0,15
1000000,8713,0,20
1000000,8680,0,15
1000000,8736,0,16
1000000,8924,0,14
1000000,8610,0,24
1000000,8689,0,15
1000000,8706,0,16
1000000,8806,0,12
1000000,8585,0,15
1000000,8907,0,9
1000000,8656,0,21
1000000,8777,0,19
1000000,8733,0,13
1000000,8742,0,13
1000000,8870,0,13
1000000,8842,0,17
1000000,8749,0,21
1000000,8698,0,23
1000000,8675,0,12
1000000,8787,0,15
1000000,8746,0,11
1000000,8735,0,14
1000000,8661,0,20
1000000,8704,0,15
1000000,8663,0,17
1000000,8736,0,12
1000000,8738,0,15
1000000,8650,0,17
1000000,8637,0,18
1000000,8633,0,14
1000000,8935,0,18
1000000,8914,0,17
1000000,8616,0,9
1000000,8768,0,12
1000000,8814,0,19
1000000,8793,0,18
1000000,8760,0,12
1000000,8817,0,16
1000000,8757,0,14
1000000,8688,0,14
1000000,8893,0,22
1000000,8843,0,11
1000000,8694,0,12
1000000,8709,0,19
1000000,8954,0,10
1000000,8750,0,19
1000000,8723,0,20
1000000,8776,0,10
1000000,8785,0,13
1000000,8757,0,21
1000000,8672,0,18
1000000,8706,0,21
1000000,8901,0,15
1000000,8600,0,12
1000000,8743,0,18
1000000,8683,0,14
1000000,8800,0,16
1000000,8791,0,13
1000000,8539,0,19
1000000,8724,0,18
1000000,8888,0,11
1000000,8481,0,9
1000000,8609,0,18
1000000,8740,0,15
1000000,8783,0,11
1000000,8879,0,11
1000000,8724,0,19
1000000,8660,0,13
1000000,8636,0,16
1000000,8574,0,18
1000000,8703,0,23
1000000,8843,0,16
1000000,8728,0,16
1000000,8718,0,10
1000000,8875,0,17
1000000,8743,0,16
1000000,8691,0,19
1000000,8637,0,18
1000000,8690,0,17
1000000,8639,0,21
1000000,8619,0,11
1000000,8785,0,18
1000000,8688,0,16
1000000,8647,0,20
1000000,8760,0,21
1000000,8696,0,22
1000000,8881,0,21
1000000,8574,0,9
1000000,8768,0,15
1000000,8745,0,13
1000000,8785,0,14
1000000,8599,0,21
1000000,8576,0,15
1000000,8749,0,16
1000000,8577,0,20
1000000,8674,0,18
1000000,8747,0,14
1000000,8743,0,22
1000000,8670,0,14
1000000,8908,0,10
1000000,8769,0,17
1000000,8771,0,9
1000000,8607,0,13
1000000,8784,0,11
1000000,8800,0,20
1000000,8803,0,15
1000000,8914,0,18
1000000,8627,0,15
1000000,8832,0,22
1000000,8732,0,20
1000000,8840,0,16
1000000,8803,0,13
1000000,8856,0,19
1000000,8822,0,22
1000000,8760,0,17
1000000,8744,0,24
1000000,8752,0,16
1000000,8717,0,10
1000000,8741,0,16
1000000,8838,0,14
1000000,8663,0,16
1000000,8785,0,18
1000000,8842,0,12
1000000,8698,0,21
1000000,8733,0,15
1000000,8790,0,20
1000000,8582,0,20
1000000,8806,0,19
1000000,8717,0,14
1000000,8818,0,14
1000000,8948,0,20
1000000,8754,0,20
1000000,8682,0,15
1000000,8779,0,9
1000000,8717,0,13
1000000,8740,0,4
1000000,8812,0,18
1000000,8745,0,11
1000000,8782,0,14
1000000,8643,0,13
1000000,8791,0,17
1000000,8802,0,17
1000000,8498,0,19
1000000,8663,0,20
1000000,8622,0,16
1000000,8719,0,19
1000000,8635,0,16
1000000,8661,0,20
1000000,8833,0,21
1000000,8598,0,13
1000000,8809,0,20
1000000,8817,0,8
1000000,8665,0,13
1000000,8785,0,14
1000000,8734,0,14
1000000,8845,0,14
1000000,8761,0,26
1000000,8799,0,14
1000000,8510,0,20
1000000,8812,0,13
1000000,8612,0,14
1000000,8858,0,16
1000000,8847,0,12
1000000,8849,0,16
1000000,8680,0,15
1000000,8765,0,20
1000000,8768,0,11
1000000,8687,0,23
1000000,8661,0,17
1000000,8745,0,16
1000000,8812,0,12
1000000,8782,0,19
1000000,8759,0,17
1000000,8714,0,22
1000000,8750,0,12
1000000,8736,0,16
1000000,8948,0,23
1000000,8582,0,11
1000000,8734,0,22
1000000,8712,0,18
1000000,8766,0,18
1000000,8789,0,22
1000000,8807,0,20
1000000,8613,0,15
1000000,8781,0,10
1000000,8675,0,12
1000000,8758,0,15
1000000,8658,0,8
1000000,8891,0,11
1000000,8686,0,19
1000000,8907,0,13
1000000,8652,0,15
1000000,8720,0,14
1000000,8616,0,11
1000000,8662,0,20
1000000,8669,0,17
1000000,8834,0,17
1000000,8930,0,18
1000000,8628,0,14
1000000,8743,0,18
1000000,8625,0,13
1000000,8716,0,5
1000000,8867,0,14
1000000,8510,0,11
1000000,8663,0,20
1000000,8722,0,18
1000000,8595,0,14
1000000,8830,0,17
1000000,8747,0,22
1000000,8733,0,16
1000000,8718,0,21
1000000,8791,0,14
1000000,8768,0,18
1000000,8764,0,18
1000000,8551,0,19
1000000,8705,0,18
1000000,8750,0,12
1000000,8750,0,13
1000000,8715,0,10
1000000,8747,0,28
1000000,8501,0,16
1000000,8728,0,14
1000000,8622,0,18
1000000,8811,0,20
1000000,8787,0,18
1000000,8599,0,18
1000000,8628,0,11
1000000,8703,0,15
1000000,8825,0,14
1000000,8894,0,25
1000000,8699,0,15
1000000,8783,0,18
1000000,8820,0,19
1000000,8738,0,17
1000000,8624,0,18
1000000,8692,0,22
1000000,8619,0,18
1000000,8785,0,9
1000000,8802,0,11
1000000,8711,0,12
1000000,8712,0,23
1000000,8804,0,10
1000000,8728,0,16
1000000,8891,0,17
1000000,8661,0,20
1000000,8674,0,19
1000000,8822,0,20
1000000,8730,0,17
1000000,8831,0,11
1000000,8636,0,19
1000000,8793,0,14
1000000,8701,0,23
1000000,8810,0,15
1000000,8525,0,21
1000000,8829,0,15
1000000,8746,0,17
1000000,8804,0,14
1000000,8776,0,19
1000000,8728,0,16
1000000,8853,0,22
1000000,8890,0,22
1000000,8730,0,21
1000000,8665,0,15
1000000,8775,0,18
1000000,8610,0,9
1000000,8649,0,16
1000000,8784,0,9
1000000,8699,0,18
1000000,8729,0,20
1000000,8753,0,13
1000000,8692,0,23
1000000,8805,0,16
1000000,8658,0,15
1000000,8622,0,15
1000000,8645,0,25
1000000,8706,0,16
1000000,8703,0,10
1000000,8750,0,17
1000000,8753,0,22
1000000,8775,0,17
1000000,8666,0,17
1000000,8783,0,15
1000000,8506,0,16
1000000,8702,0,26
1000000,8907,0,20
1000000,8770,0,16
1000000,8838,0,15
1000000,8865,0,14
1000000,8760,0,14
1000000,8658,0,18
1000000,8623,0,18
1000000,8744,0,19
1000000,8837,0,17
1000000,8733,0,11
1000000,8933,0,13
1000000,8734,0,29
1000000,8707,0,14
1000000,8796,0,17
1000000,8841,0,10
1000000,8834,0,13
1000000,8691,0,15
1000000,8798,0,25
1000000,8978,0,21
1000000,8824,0,13
1000000,8875,0,15
1000000,8755,0,14
1000000,8739,0,18
1000000,8670,0,13
1000000,8934,0,8
1000000,8688,0,17
1000000,8773,0,13
1000000,8766,0,11
1000000,8637,0,14
1000000,8618,0,18
1000000,8692,0,17
1000000,8667,0,19
1000000,8819,0,17
1000000,8681,0,15
1000000,8917,0,16
1000000,8739,0,20
1000000,8868,0,14
1000000,8793,0,14
1000000,8666,0,15
1000000,8618,0,14
1000000,8863,0,14
1000000,8930,0,17
1000000,8661,0,21
1000000,8819,0,13
1000000,8784,0,12
1000000,8846,0,19
1000000,8699,0,22
1000000,8801,0,24
1000000,8777,0,12
1000000,8911,0,11
1000000,8883,0,8
1000000,8486,0,22
1000000,8776,0,16
1000000,9066,0,21
1000000,8761,0,15
1000000,8778,0,19
1000000,8808,0,19
1000000,8791,0,11
1000000,8830,0,14
1000000,8714,0,9
1000000,8666,0,18
1000000,8819,0,19
1000000,8610,0,17
1000000,8716,0,18
1000000,8643,0,17
1000000,8783,0,14
1000000,8682,0,15
1000000,8791,0,19
1000000,8774,0,19
1000000,8855,0,14
1000000,8666,0,16
1000000,8701,0,16
1000000,8677,0,15
1000000,8751,0,13
1000000,8714,0,9
1000000,8760,0,10
1000000,8814,0,20
1000000,8733,0,15
1000000,8635,0,18
1000000,8670,0,26
1000000,8688,0,18
1000000,8687,0,9
1000000,8647,0,9
1000000,8724,0,14
1000000,8760,0,12
1000000,8921,0,21
1000000,8857,0,12
1000000,8590,0,16
1000000,8835,0,15
1000000,8647,0,17
1000000,8767,0,18
1000000,8798,0,13
1000000,8692,0,23
1000000,8596,0,17
1000000,8523,0,13
1000000,8797,0,17
1000000,8743,0,12
1000000,8758,0,12
1000000,8747,0,13
1000000,8847,0,15
1000000,8698,0,18
1000000,8726,0,17
1000000,8624,0,24
1000000,8784,0,15
1000000,8659,0,21
1000000,8827,0,19
1000000,8765,0,13
1000000,8819,0,11
1000000,8672,0,19
1000000,8736,0,16
1000000,8652,0,11
1000000,8688,0,21
1000000,8720,0,12
1000000,8769,0,17
1000000,8715,0,16
1000000,8855,0,21
1000000,8559,0,15
1000000,8632,0,18
1000000,8896,0,16
1000000,8838,0,15
1000000,8639,0,15
1000000,8734,0,18
1000000,8763,0,14
1000000,8675,0,19
1000000,8645,0,23
1000000,8856,0,16
1000000,8664,0,22
1000000,8631,0,11
1000000,8618,0,18
1000000,8736,0,13
1000000,8772,0,11
1000000,8771,0,15
1000000,8712,0,11
1000000,8834,0,16
1000000,8613,0,14
1000000,8722,0,13
1000000,8634,0,18
1000000,8854,0,14
1000000,8674,0,15
1000000,8687,0,14
1000000,8776,0,15
1000000,8604,0,22
1000000,8661,0,26
1000000,8744,0,15
1000000,8748,0,14
1000000,8811,0,12
1000000,8911,0,13
1000000,8643,0,10
1000000,8724,0,25
1000000,8690,0,9
1000000,8674,0,11
1000000,8908,0,17
1000000,8692,0,8
1000000,8748,0,15
1000000,8758,0,16
1000000,8635,0,19
1000000,8751,0,15
1000000,8652,0,11
1000000,8753,0,20
1000000,8792,0,15
1000000,8760,0,13
1000000,8721,0,21
1000000,8679,0,20
1000000,8659,0,11
1000000,8627,0,13
1000000,8788,0,10
1000000,8598,0,12
1000000,8651,0,9
1000000,8892,0,22
